Wall time,Step,Value
1592236352.6970766,10001,-136.92193603515625
1592236374.1911805,20001,-114.40962982177734
1592236403.0251384,30001,-84.90403747558594
1592236436.36899,40001,-80.54181671142578
1592236468.8932688,50001,-81.19149017333984
1592236498.44834,60001,-85.09579467773438
1592236529.401894,70001,-84.3403549194336
1592236562.4420478,80001,-78.33464050292969
1592236596.1046286,90001,-84.85874938964844
1592236630.3894632,100001,-86.64015197753906
1592236664.6317537,110001,-89.58706665039062
1592236698.7958136,120001,-86.87810516357422
1592236732.902785,130001,-78.48230743408203
1592236782.0656316,140001,-64.33971405029297
1592236817.8342247,150001,-53.431636810302734
1592236853.5440938,160001,-36.4442138671875
1592236888.7917418,170001,-34.09992599487305
1592236926.3551364,180001,-16.977134704589844
1592236962.9860423,190001,-6.619401454925537
1592236999.4862761,200001,-1.0452712774276733
1592237037.5904145,210001,5.698646068572998
1592237075.3079357,220001,7.69023323059082
1592237114.6948068,230001,13.247661590576172
1592237155.0005748,240001,15.281745910644531
1592237191.9116204,250001,9.852845191955566
1592237231.4462814,260001,12.213479995727539
1592237280.9305024,270001,7.175566673278809
1592237317.424964,280001,10.087959289550781
1592237372.1316133,290001,28.226192474365234
1592237411.2215538,300001,35.659996032714844
1592237453.1755483,310001,36.76583480834961
1592237494.91161,320001,50.02861785888672
1592237528.5668411,330001,89.52716064453125
1592237557.9560254,340001,142.4468231201172
1592237588.895832,350001,175.5663299560547
1592237618.488759,360001,230.5682373046875
1592237643.027594,370001,247.46315002441406
1592237667.2019002,380001,261.2759704589844
1592237694.6061115,390001,272.6291809082031
1592237718.0759068,400001,273.82421875
1592237741.8077161,410001,272.25225830078125
1592237765.127326,420001,255.62933349609375
1592237789.6292932,430001,241.61927795410156
1592237813.9258041,440001,216.38626098632812
1592237838.282859,450001,194.58766174316406
1592237871.0576286,460001,182.5379180908203
1592237896.7421446,470001,180.25656127929688
1592237924.6955948,480001,184.5077667236328
1592237950.6697488,490001,184.0094451904297
